"Term","Course","Enrollment","MedianGrade"
"TERM","COURSE","ENRL","MEDIAN"
"10F","FREN-001-01","16","A"
"10F","FREN-001-02","17","A"
"10F","FREN-002-01","21","A-"
"10F","FREN-002-03","13","A-"
"10F","FREN-002-04","11","A-"
"10F","FREN-003-01","18","B+"
"10F","FREN-003-02","21","A-"
"10F","FREN-003-03","22","B+"
"10F","FREN-008-01","15","A-"
"10F","FREN-008-02","12","A-"
"10F","FREN-010-02","19","A-"
"10F","FREN-025-01","20","A-"
"10F","FREN-070-01","10","A-/B+"
"10F","FRIT-033-01","15","A-"
"10F","GEOG-003-01","30","A-/B+"
"10F","GEOG-004-01","10","B"
"10F","GEOG-006-01","53","B+"
"10F","GEOG-007-01","16","A-"
"10F","GEOG-020-01","47","B+"
"10F","GEOG-031-01","10","B"
"10F","GEOG-033-01","17","B+"
"10F","GEOG-044-01","37","A-"
"10F","GEOG-050-01","32","B+"
"10F","GEOG-080-01","15","B+"
"10F","GEOG-090-01","15","A-"
"10F","GEOG-090-02","16","A"
"10F","GERM-001-01","12","A /A-"
"10F","GERM-003-01","10","A"
"10F","GERM-007-01","16","A-"
"10F","GERM-009-01","12","A-"
"10F","GOVT-003-01","53","B+"
"10F","GOVT-004-01","54","B+"
"10F","GOVT-005-01","58","B+"
"10F","GOVT-006-01","46","B+"
"10F","GOVT-007-01","14","B+"
"10F","GOVT-010-01","35","B"
"10F","GOVT-030-01","42","A-"
"10F","GOVT-038-01","38","B+"
"10F","GOVT-040-01","26","B+"
"10F","GOVT-047-01","31","B"
"10F","GOVT-050-02","36","B+"
"10F","GOVT-050-03","23","A-"
"10F","GOVT-050-04","35","A-"
"10F","GOVT-059-01","38","B+"
"10F","GOVT-060-01","37","B+"
"10F","GOVT-060-02","36","A-"
"10F","GOVT-064-01","28","A-/B+"
"10F","GOVT-083-19","13","A-"
"10F","GOVT-084-09","10","A"
"10F","GOVT-084-26","16","A-"
"10F","GOVT-085-16","17","A-"
"10F","GOVT-085-20","19","A-"
"10F","GOVT-086-02","20","A-"
"10F","GOVT-090-90","15","A-"
"10F","GOVT-091-90","15","A"
"10F","GOVT-092-90","15","A"
"10F","HIST-003-02","10","A-/B+"
"10F","HIST-003-03","10","A-"
"10F","HIST-003-04","12","A-"
"10F","HIST-003-05","11","B+"
"10F","HIST-005-02","39","A-"
"10F","HIST-005-03","26","A-/B+"
"10F","HIST-005-05","30","A-/B+"
"10F","HIST-005-09","12","B+"
"10F","HIST-007-01","16","A-"
"10F","HIST-007-02","16","A-"
"10F","HIST-012-01","30","A-/B+"
"10F","HIST-015-01","28","B+"
"10F","HIST-018-01","20","B+"
"10F","HIST-020-01","38","B+"
"10F","HIST-023-01","18","B+"
"10F","HIST-034-01","46","B"
"10F","HIST-036-01","59","B+"
"10F","HIST-041-90","15","A-"
"10F","HIST-046-01","40","B+"
"10F","HIST-049-01","13","B+"
"10F","HIST-052-01","15","B+"
"10F","HIST-075-01","26","B+"
"10F","HIST-082-01","25","A-"
"10F","HIST-094-01","32","B+"
"10F","HIST-098-01","24","A-"
"10F","HUM -001-02","16","A-"
"10F","HUM -001-03","17","A-"
"10F","HUM -001-04","14","B+"
"10F","INTS-015-01","38","B+"
"10F","INTS-016-01","53","B+"
"10F","INTS-017-01","16","A"
"10F","ITAL-001-01","12","A-"
"10F","ITAL-001-02","14","A-"
"10F","ITAL-002-01","12","A-"
"10F","ITAL-003-01","16","A-/B+"
"10F","JAPN-001-01","10","A"
"10F","JAPN-001-02","14","A"
"10F","JAPN-061-01","20","A"
"10F","JWST-006-01","61","B+"
"10F","JWST-022-03","46","A-"
"10F","JWST-072-01","36","A-"
"10F","LACS-001-01","15","A-"
"10F","LACS-043-01","40","B+"
"10F","LACS-051-01","20","B+"
"10F","LACS-082-01","25","A-"
"10F","LAT -001-01","20","A-/B+"
"10F","LAT -001-02","18","B+/B"
"10F","LAT -015-01","14","B+"
"10F","LAT -022-01","10","A /A-"
"10F","LATS-041-01","16","B+"
"10F","LING-001-01","65","A"
"10F","LING-011-01","18","B+/B"
"10F","LING-011-02","28","A-"
"10F","LING-011-03","20","B+"
"10F","LING-022-01","24","A-"
"10F","LING-035-01","12","A"
"10F","M&SS-036-01","10","A-"
"10F","MATH-001-01","45","B-"
"10F","MATH-001-02","45","B-"
"10F","MATH-003-01","219","B-"
"10F","MATH-003-02","219","B-"
"10F","MATH-003-03","219","B-"
"10F","MATH-008-01","140","B+"
"10F","MATH-008-02","140","B+"
"10F","MATH-008-03","140","B+"
"10F","MATH-011-01","164","B+"
"10F","MATH-011-02","164","B+"
"10F","MATH-011-03","164","B+"
"10F","MATH-012-01","26","A-"
"10F","MATH-012-02","26","A-"
"10F","MATH-013-01","29","B"
"10F","MATH-019-01","18","B+"
"10F","MATH-020-01","40","A-/B+"
"10F","MATH-022-01","40","A-"
"10F","MATH-023-01","35","B+"
"10F","MATH-025-01","28","A-"
"10F","MATH-026-01","14","B"
"10F","MATH-031-01","24","B+"
"10F","MATH-036-01","10","A-"
"10F","MATH-071-01","12","A-"
"10F","MATH-086-01","24","B /B-"
"10F","MUS -001-01","27","A"
"10F","MUS -005-01","55","A-"
"10F","MUS -009-01","46","A"
"10F","MUS -020-01","26","A-/B+"
"10F","MUS -021-01","26","A-"
"10F","MUS -051-01","25","A"
"10F","NAS -008-01","44","B+"
"10F","NAS -015-01","28","B+"
"10F","NAS -025-01","71","A-"
"10F","NAS -048-01","24","A-"
"10F","PBPL-042-01","37","B+"
"10F","PBPL-045-01","22","A-"
"10F","PBPL-047-01","57","B+"
"10F","PHIL-001-01","80","B"
"10F","PHIL-003-01","98","B"
"10F","PHIL-007-01","16","A-"
"10F","PHIL-009-01","43","A-"
"10F","PHIL-011-01","33","A-"
"10F","PHIL-029-01","13","B+"
"10F","PHIL-038-01","19","B+"
"10F","PHIL-050-01","25","B+"
"10F","PHIL-080-01","17","A-"
"10F","PHYS-003-01","98","A-"
"10F","PHYS-013-01","44","B+"
"10F","PHYS-013-02","47","A-"
"10F","PHYS-015-01","32","A-"
"10F","PHYS-019-01","16","B+"
"10F","PHYS-043-01","21","A-"
"10F","PSYC-001-01","180","B"
"10F","PSYC-011-01","27","B+"
"10F","PSYC-021-01","45","B+"
"10F","PSYC-024-01","116","B+"
"10F","PSYC-040-01","38","A"
"10F","PSYC-045-01","26","A-"
"10F","PSYC-050-01","31","A-"
"10F","PSYC-051-01","37","B+"
"10F","PSYC-052-01","32","B+"
"10F","PSYC-054-01","19","A-"
"10F","PSYC-065-01","20","B"
"10F","PSYC-083-01","13","A-"
"10F","PSYC-084-01","11","A-"
"10F","PSYC-086-01","16","A"
"10F","REL -005-01","63","A-"
"10F","REL -006-01","61","B+"
"10F","REL -056-01","28","A-"
"10F","REL -057-01","36","A-"
"10F","REL -070-90","12","B+"
"10F","REL -071-90","12","B+"
"10F","REL -074-90","12","A"
"10F","RUSS-013-01","120","A-"
"10F","RUSS-031-01","13","A"
"10F","SART-015-01","19","A"
"10F","SART-015-02","15","A-"
"10F","SART-015-03","17","A-"
"10F","SART-016-01","12","A"
"10F","SART-016-02","11","A-"
"10F","SART-017-01","15","A-"
"10F","SART-020-01","14","A"
"10F","SART-021-01","10","A /A-"
"10F","SART-025-01","14","A"
"10F","SART-025-02","12","A"
"10F","SART-029-01","12","A-/B+"
"10F","SART-065-01","11","A-"
"10F","SOCY-001-01","79","B"
"10F","SOCY-007-01","16","B+"
"10F","SOCY-010-01","38","B+"
"10F","SOCY-015-01","19","A-"
"10F","SOCY-021-01","12","A-"
"10F","SOCY-029-01","34","B+"
"10F","SOCY-049-03","18","B+"
"10F","SOCY-061-01","12","A-"
"10F","SOCY-066-01","28","B"
"10F","SPAN-001-01","14","A-"
"10F","SPAN-001-02","18","B+"
"10F","SPAN-001-03","21","A-"
"10F","SPAN-002-01","15","A-"
"10F","SPAN-002-02","20","A-"
"10F","SPAN-002-03","16","A-"
"10F","SPAN-002-04","19","A-"
"10F","SPAN-002-05","22","A /A-"
"10F","SPAN-003-01","16","A-"
"10F","SPAN-003-02","21","A-"
"10F","SPAN-003-03","20","A-"
"10F","SPAN-003-04","20","A-"
"10F","SPAN-003-91","10","A-/B+"
"10F","SPAN-005-91","10","A-/B+"
"10F","SPAN-006-91","10","A-"
"10F","SPAN-009-01","23","A-"
"10F","SPAN-009-02","17","A-"
"10F","SPAN-010-01","18","A-"
"10F","SPAN-024-90","17","A-"
"10F","SPAN-030-01","12","A-"
"10F","SPAN-034-90","17","A-"
"10F","SPAN-036-90","17","A-"
"10F","SPAN-037-01","18","B /B-"
"10F","SPAN-043-01","11","A-"
"10F","SPAN-050-01","20","A /A-"
"10F","SPAN-075-01","11","B-"
"10F","SPAN-080-01","13","A-"
"10F","SPEE-020-01","13","A-"
"10F","SPEE-030-01","14","A /A-"
"10F","THEA-010-01","15","A"
"10F","THEA-015-01","12","A"
"10F","THEA-030-01","16","A"
"10F","THEA-030-02","16","A"
"10F","THEA-040-01","15","A"
"10F","THEA-048-01","11","A"
"10F","TUCK-002-01","56","B+"
"10F","TUCK-002-02","48","A-"
"10F","WGST-007-01","15","A"
"10F","WGST-010-01","27","A-"
"10F","WGST-010-02","29","A-"
"10F","WGST-018-01","47","A-"
"10F","WGST-033-05","12","A-"
"10F","WGST-043-03","28","A-"
"10F","WGST-056-07","46","A-"
"10F","WGST-059-02","14","A-"
"10F","WGST-080-02","16","A"
"10F","WRIT-002-01","16","A"
"10F","WRIT-002-02","14","A-"
"10F","WRIT-002-03","16","A"
"10F","WRIT-002-04","16","A-"
"10F","WRIT-002-05","15","B+"
"10F","WRIT-002-06","16","A-"
"10F","WRIT-002-07","16","A-"
"10F","WRIT-005-01","16","B+"
"10F","WRIT-005-02","18","B+"
"10F","WRIT-005-03","17","A-"
"10F","WRIT-005-04","18","A /A-"
"10F","WRIT-005-05","17","B+"
"10F","WRIT-005-06","18","A-"
"10F","WRIT-005-07","18","A-"
"10F","WRIT-005-08","18","A"
"10F","WRIT-005-09","18","A"
"10F","WRIT-005-10","17","B+"
"10F","WRIT-005-11","18","A-"
"10F","WRIT-005-12","16","B+"
"10F","WRIT-005-13","18","B+"
"10F","WRIT-005-14","18","B+"
"10F","WRIT-005-15","18","A-/B+"
"10F","WRIT-005-16","18","A-/B+"
"10F","WRIT-005-17","17","B+"
"10F","WRIT-005-18","18","B+"
"10F","WRIT-005-19","14","B+"
"10F","WRIT-005-20","15","A-"
"10F","WRIT-005-21","18","B+"
"10F","WRIT-005-22","18","A-"
"10F","WRIT-005-23","18","B+"
"10F","WRIT-005-24","17","B+"
"11F","AAAS-014-01","28","B+"
"11F","AAAS-039-01","59","A"
"11F","AAAS-046-01","18","A-"
"11F","AAAS-083-05","27","A-"
"11F","AAAS-085-01","16","A /A-"
"11F","AAAS-090-02","11","A"
"11F","AMES-006-01","15","B+"
"11F","AMES-011-01","27","A-"
"11F","AMES-040-01","13","A"
"11F","ANTH-001-01","73","A-"
"11F","ANTH-006-01","63","B+"
"11F","ANTH-008-01","50","B+/B"
"11F","ANTH-009-01","21","B+"
"11F","ANTH-018-01","11","A-"
"11F","ANTH-019-01","15","B+"
"11F","ANTH-031-01","29","A-"
"11F","ANTH-037-01","25","B+"
"11F","ANTH-073-01","15","A-"
"11F","ARAB-001-01","16","A"
"11F","ARAB-001-02","18","A"
"11F","ARAB-001-04","10","A"
"11F","ARAB-021-01","17","A"
"11F","ARTH-001-01","30","A-/B+"
"11F","ARTH-020-01","35","B+"
"11F","ARTH-021-01","18","A-"
"11F","ARTH-036-01","35","A-"
"11F","ARTH-070-01","18","A-/B+"
"11F","ARTH-085-01","10","A-"
"11F","ASTR-002-01","59","B+"
"11F","ASTR-003-01","59","B+"
"11F","BIOL-002-01","85","B+"
"11F","BIOL-008-01","76","B"
"11F","BIOL-011-01","114","B"
"11F","BIOL-011-02","42","B"
"11F","BIOL-012-01","44","B"
"11F","BIOL-012-02","45","B"
"11F","BIOL-016-01","19","B"
"11F","BIOL-024-01","21","A-"
"11F","BIOL-034-01","15","B+"
"11F","BIOL-040-01","71","B"
"11F","BIOL-046-01","15","B+"
"11F","BIOL-069-01","12","A-"
"11F","BIOL-173-01","12","A-"
"11F","CHEM-002-01","10","B-/C+"
"11F","CHEM-005-01","56","B"
"11F","CHEM-006-01","44","B+"
"11F","CHEM-008-01","76","B"
"11F","CHEM-010-01","15","B+"
"11F","CHEM-051-01","71","B"
"11F","CHEM-057-01","26","B+/B"
"11F","CHIN-001-01","10","A"
"11F","CHIN-001-02","14","A-/B+"
"11F","CHIN-001-03","10","A-"
"11F","CHIN-004-01","22","A-"
"11F","CHIN-004-02","20","A-"
"11F","CHIN-004-03","20","A /A-"
"11F","CHIN-011-90","15","A"
"11F","CHIN-031-01","15","A"
"11F","CHIN-063-02","12","A-"
"11F","CLST-005-01","23","B+"
"11F","CLST-011-01","13","A-"
"11F","CLST-015-01","13","A-"
"11F","CLST-030-90","10","B+"
"11F","CLST-030-91","10","A-"
"11F","CLST-031-90","10","A-"
"11F","COCO-004-01","17","B+"
"11F","COLT-007-01","16","A"
"11F","COLT-010-01","17","A"
"11F","COLT-046-01","17","A-"
"11F","COSC-001-01","96","B+"
"11F","COSC-007-01","16","A /A-"
"11F","COSC-008-01","36","B+"
"11F","COSC-022-01","25","A"
"11F","COSC-030-01","20","B+"
"11F","COSC-055-01","16","A /A-"
"11F","COSC-058-01","13","B+"
"11F","COSC-071-01","17","B+"
"11F","COSC-079-01","28","A"
"11F","COSC-089-01","11","A"
"11F","COSC-179-01","28","A"
"11F","COSC-189-01","11","A"
"11F","EARS-001-01","38","A-/B+"
"11F","EARS-006-01","285","A"
"11F","EARS-045-90","11","A-"
"11F","EARS-046-90","11","A-"
"11F","EARS-047-90","11","A-"
"11F","ECON-001-01","40","B+"
"11F","ECON-001-02","81","B"
"11F","ECON-001-03","81","B"
"11F","ECON-001-04","81","B"
"11F","ECON-001-05","81","B"
"11F","ECON-002-01","42","B"
"11F","ECON-010-01","27","B+"
"11F","ECON-020-01","46","B"
"11F","ECON-020-02","46","B"
"11F","ECON-020-03","28","B"
"11F","ECON-021-01","36","B+"
"11F","ECON-021-02","36","B+"
"11F","ECON-021-03","64","B+"
"11F","ECON-021-04","64","B+"
"11F","ECON-022-01","53","B"
"11F","ECON-022-02","53","B"
"11F","ECON-022-03","67","B+"
"11F","ECON-022-04","67","B+"
"11F","ECON-024-01","57","B+"
"11F","ECON-024-02","57","B+"
"11F","ECON-026-01","40","A-"
"11F","ECON-026-02","40","A-"
"11F","ECON-027-01","17","B+"
"11F","ECON-028-01","29","B+"
"11F","ECON-028-02","29","B+"
"11F","ECON-029-01","49","B+"
"11F","ECON-029-02","49","B+"
"11F","ECON-036-01","51","B+"
"11F","ECON-036-02","51","B+"
"11F","ECON-038-01","27","B+"
"11F","ECON-039-01","36","B+"
"11F","ECON-039-02","36","B+"
"11F","ECON-075-01","33","B+"
"11F","ECON-075-02","33","B+"
"11F","ECON-080-01","13","A-"
"11F","EDUC-001-01","67","B+"
"11F","EDUC-015-01","16","B+"
"11F","ENGL-007-01","12","A-"
"11F","ENGL-007-02","16","A-"
"11F","ENGL-012-01","19","B+"
"11F","ENGL-020-01","16","A-"
"11F","ENGL-024-01","29","A-"
"11F","ENGL-031-01","20","A-"
"11F","ENGL-041-01","29","A-"
"11F","ENGL-060-01","23","A-"
"11F","ENGL-060-03","11","A"
"11F","ENGL-067-02","16","A /A-"
"11F","ENGL-080-01","12","A-"
"11F","ENGL-085-02","10","A"
"11F","ENGL-090-90","13","A"
"11F","ENGL-091-90","13","A-"
"11F","ENGL-092-90","13","A"
"11F","ENGS-004-01","30","A"
"11F","ENGS-007-01","16","B+"
"11F","ENGS-012-01","22","A-"
"11F","ENGS-013-01","46","B+"
"11F","ENGS-020-01","26","B"
"11F","ENGS-021-01","73","A-"
"11F","ENGS-023-01","62","B+"
"11F","ENGS-026-01","26","A-"
"11F","ENGS-033-01","64","A-"
"11F","ENGS-035-01","26","A-"
"11F","ENGS-036-01","19","A-"
"11F","ENGS-037-01","50","B"
"11F","ENGS-066-01","20","B+"
"11F","ENGS-076-01","16","B+"
"11F","ENGS-089-01","27","A-"
"11F","ENGS-091-01","17","B+"
"11F","ENGS-160-01","26","A-"
"11F","ENVS-002-01","90","B+"
"11F","ENVS-007-01","15","B+"
"11F","ENVS-017-01","20","A"
"11F","ENVS-040-90","13","A-"
"11F","ENVS-042-90","13","A-"
"11F","ENVS-044-01","27","A-"
"11F","ENVS-053-01","20","B+"
"11F","ENVS-060-01","23","B+"
"11F","ENVS-084-90","13","A-"
"11F","FILM-001-01","49","B+"
"11F","FILM-007-01","15","A-"
"11F","FILM-020-01","28","B"
"11F","FILM-030-01","11","A"
"11F","FILM-033-01","12","A-"
"11F","FILM-041-01","13","A-"
"11F","FILM-042-01","10","A-/B+"
"11F","FILM-043-01","14","A"
"11F","FILM-047-02","48","A"
"11F","FREN-001-01","13","A-"
"11F","FREN-001-02","17","A-"
"11F","FREN-002-01","11","A-"
"11F","FREN-002-02","10","A-"
"11F","FREN-002-03","10","A-"
"11F","FREN-003-01","11","A-"
"11F","FREN-003-02","14","A-"
"11F","FREN-003-03","17","A-"
"11F","FREN-008-01","18","A"
"11F","FREN-008-02","15","A-"
"11F","FREN-010-01","10","A-/B+"
"11F","FREN-010-02","19","A"
"11F","FREN-023-01","13","A"
"11F","FREN-053-01","18","A /A-"
"11F","FRIT-033-01","35","A-"
"11F","GEOG-001-01","75","A-"
"11F","GEOG-003-01","25","A-"
"11F","GEOG-007-01","16","A-"
"11F","GEOG-012-01","19","A-"
"11F","GEOG-020-01","35","B+"
"11F","GEOG-025-01","50","A-"
"11F","GEOG-031-01","20","B+"
"11F","GEOG-044-01","27","A-"
"11F","GEOG-050-01","28","B+"
"11F","GEOG-090-01","18","A-"
"11F","GEOG-090-02","22","A /A-"
"11F","GERM-001-01","23","B+"
"11F","GERM-002-01","11","B+"
"11F","GERM-007-01","16","B+"
"11F","GERM-042-01","13","A"
"11F","GOVT-003-01","50","B+"
"11F","GOVT-004-01","51","B+"
"11F","GOVT-005-01","52","A-"
"11F","GOVT-005-02","52","B+"
"11F","GOVT-006-01","45","B+"
"11F","GOVT-007-01","16","A-"
"11F","GOVT-010-01","36","B"
"11F","GOVT-031-01","42","A-"
"11F","GOVT-036-01","22","B+"
"11F","GOVT-040-01","12","B+"
"11F","GOVT-042-01","38","B+"
"11F","GOVT-050-01","37","B+"
"11F","GOVT-050-03","33","B+"
"11F","GOVT-053-01","26","B+/B"
"11F","GOVT-054-01","43","B+"
"11F","GOVT-060-01","37","B+"
"11F","GOVT-060-02","38","A-"
"11F","GOVT-064-01","29","B+"
"11F","GOVT-066-02","27","B+"
